correctname,epithet,IUCN
Quercus viminea,viminea,LC
Quercus chrysolepis,chrysolepis,LC
Quercus dumosa,dumosa,EN
Quercus emoryi,emoryi,LC
Quercus gambelii,gambelii,LC
Quercus grisea,grisea,LC
Quercus hypoleucoides,hypoleucoides,LC
Quercus oblongifolia,oblongifolia,LC
Quercus pungens,pungens,LC
Quercus rugosa,rugosa,LC
Quercus toumeyi,toumeyi,DD
Quercus turbinella,turbinella,LC
Quercus palmeri,palmeri,NT
Quercus ajoensis,ajoensis,VU
Quercus arizonica,arizonica,LC
Quercus fusiformis,fusiformis,LC
Quercus ilex,ilex,LC
Quercus mohriana,mohriana,LC
Quercus muehlenbergii,muehlenbergii,LC
Quercus agrifolia,agrifolia,LC
Quercus albocincta,albocincta,LC
Quercus chihuahuensis,chihuahuensis,LC
Quercus crassifolia,crassifolia,LC
Quercus depressipes,depressipes,LC
Quercus devia,devia,EN
Quercus durifolia,durifolia,NT
Quercus sideroxyla,sideroxyla,LC
Quercus magnoliifolia,magnoliifolia,LC
Quercus mcvaughii,mcvaughii,NT
Quercus perpallida,perpallida,DD
Quercus scytophylla,scytophylla,LC
Quercus subspathulata,subspathulata,LC
Quercus tarahumara,tarahumara,LC
Quercus tuberculata,tuberculata,LC
Quercus brandegeei,brandegeei,EN
Quercus knoblochii,knoblochii,
Quercus buckleyi,buckleyi,LC
Quercus kelloggii,kelloggii,LC
Quercus acherdophylla,acherdophylla,DD
Quercus acutifolia,acutifolia,VU
Quercus peduncularis,peduncularis,LC
Quercus deserticola,deserticola,LC
Quercus berberidifolia,berberidifolia,LC
Quercus sapotifolia,sapotifolia,LC
Quercus canbyi,canbyi,LC
Quercus castanea,castanea,LC
Quercus charcasana,charcasana,
Quercus coahuilensis,coahuilensis,DD
Quercus conzattii,conzattii,LC
Quercus diversifolia,diversifolia,EN
Quercus elliptica,elliptica,LC
Quercus fulva,fulva,LC
Quercus confertifolia,confertifolia,LC
Quercus germana,germana,LC
Quercus oocarpa,oocarpa,
Quercus gravesii,gravesii,LC
Quercus greggii,greggii,LC
Quercus obtusata,obtusata,LC
Quercus hypoxantha,hypoxantha,LC
Quercus laeta,laeta,LC
Quercus depressa,depressa,LC
Quercus mexicana,mexicana,LC
Quercus microphylla,microphylla,LC
Quercus miquihuanensis,miquihuanensis,EN
Quercus paxtalensis,paxtalensis,DD
Quercus planipocula,planipocula,LC
Quercus polymorpha,polymorpha,LC
Quercus porphyrogenita,porphyrogenita,DD
Quercus potosina,potosina,LC
Quercus coffeicolor,coffeicolor,DD
Quercus radiata,radiata,EN
Quercus rysophylla,rysophylla,NT
Quercus salicifolia,salicifolia,LC
Quercus sartorii,sartorii,NT
Quercus sebifera,sebifera,LC
Quercus seemannii,seemannii,
Quercus skinneri,skinneri,NT
Quercus repanda,repanda,LC
Quercus tinkhamii,tinkhamii,DD
Quercus laurina,laurina,LC
Quercus vicentensis,vicentensis,VU
Quercus xalapensis,xalapensis,LC
Quercus laceyi,laceyi,LC
Quercus sinuata,sinuata,LC
Quercus vaseyana,vaseyana,LC
Quercus cedrosensis,cedrosensis,VU
Quercus cornelius-mulleri,cornelius-mulleri,LC
Lithocarpus corneus,corneus,
Quercus geminata,geminata,LC
Quercus intricata,intricata,LC
Quercus laurifolia,laurifolia,LC
Quercus wislizeni,wislizeni,LC
Quercus aerea,aerea,DD
Quercus aristata,aristata,LC
Quercus basaseachicensis,basaseachicensis,
Quercus convallata,convallata,LC
Quercus corrugata,corrugata,LC
Quercus cortesii,cortesii,NT
Quercus crassipes,crassipes,LC
Quercus crispipilis,crispipilis,NT
Quercus cualensis,cualensis,EN
Lithocarpus elegans,elegans,
Quercus flocculenta,flocculenta,EN
Quercus frutex,frutex,LC
Quercus hintonii,hintonii,
Quercus hintoniorum,hintoniorum,
Quercus iltisii,iltisii,NT
Quercus invaginata,invaginata,LC
Quercus lancifolia,lancifolia,LC
Quercus xylina,xylina,NT
Quercus macdougallii,macdougallii,EN
Quercus martinezii,martinezii,LC
Quercus oleoides,oleoides,NT
Quercus opaca,opaca,DD
Quercus peninsularis,peninsularis,NT
Quercus pennivenia,pennivenia,
Quercus petraea,petraea,LC
Quercus praeco,praeco,LC
Quercus pringlei,pringlei,LC
Quercus resinosa,resinosa,LC
Quercus rubramenta,rubramenta,VU
Quercus saltillensis,saltillensis,NT
Quercus segoviensis,segoviensis,LC
Quercus sororia,sororia,LC
Quercus striatula,striatula,LC
Quercus toxicodendrifolia,toxicodendrifolia,DD
Quercus tuitensis,tuitensis,VU
Quercus urbani,urbani,LC
Quercus uxoris,uxoris,LC
Quercus jonesii,jonesii,LC
Quercus barrancana,barrancana,DD
Quercus benthamii,benthamii,NT
Quercus crispifolia,crispifolia,NT
Quercus eduardi,eduardi,LC
Quercus furfuracea,furfuracea,VU
Quercus galeanensis,galeanensis,EN
Quercus gilva,gilva,LC
Quercus glaucescens,glaucescens,LC
Quercus insignis,insignis,EN
Quercus liebmannii,liebmannii,LC
Quercus pinnativenulosa,pinnativenulosa,NT
Quercus ariifolia,ariifolia,NT
Quercus ignaciensis,ignaciensis,DD
Quercus breedloveana,breedloveana,DD
Quercus delgadoana,delgadoana,EN
Quercus deliquescens,deliquescens,DD
Quercus hirtifolia,hirtifolia,EN
Quercus meavei,meavei,VU
Quercus nixoniana,nixoniana,EN
Quercus runcinatifolia,runcinatifolia,EN
Quercus robur,robur,LC
Quercus centenaria,centenaria,DD
Quercus mexiae,mexiae,DD
Quercus huicholensis,huicholensis,
Lithocarpus korthalsii,korthalsii,
Quercus undulata,undulata,
Quercus grahamii,grahamii,DD
Quercus acatenangensis,acatenangensis,LC
Quercus affinis,affinis,LC
Quercus calophylla,calophylla,LC
Quercus gulielmi-treleasei,gulielmi-treleasei,VU
Quercus glaucoides,glaucoides,LC
Quercus dysophylla,dysophylla,
Quercus perseaefolia,perseaefolia,
Quercus glabrescens,glabrescens,LC
Quercus caudicans,caudicans,
Quercus engelmannii,engelmannii,EN
Quercus purulhana,purulhana,NT
Quercus robusta,robusta,DD
Quercus acutidens,acutidens,
Quercus tomentella,tomentella,
Quercus brenesii,brenesii,
Quercus macvaughii,macvaughii,
Quercus suber,suber,LC
Quercus supranitida,supranitida,DD
Quercus ghiesbreghtii,ghiesbreghtii,DD
Quercus douglasii,douglasii,LC
Quercus ocoteaefolia,ocoteaefolia,
Quercus magnifolia,magnifolia,
Quercus alpescens,alpescens,DD
Quercus tardifolia,tardifolia,DD
Quercus ganderi,ganderi,
Quercus augustini,augustini,
Quercus mulleri,mulleri,CR
Quercus carmenensis,carmenensis,EN
Quercus cerris,cerris,LC
Quercus alvordiana,alvordiana,
Quercus morehus,morehus,
Quercus melissae,melissae,DD
Quercus glaucophylla,glaucophylla,
Quercus ellipsoidalis,ellipsoidalis,LC
Quercus chiapensis,chiapensis,
Quercus montana,montana,LC
Quercus sanchezcolinii,sanchezcolinii,
Quercus virginiana,virginiana,LC
Quercus laevis,laevis,LC
Quercus chartacea,chartacea,
Quercus copeyensis,copeyensis,
Quercus undata,undata,DD
Quercus bourgaei,bourgaei,
Quercus floccosa,floccosa,
Quercus acutangula,acutangula,
Quercus manzanillana,manzanillana,
Quercus schultzei,schultzei,
Quercus aculcingensis,aculcingensis,
Quercus obtusanthera,obtusanthera,
Quercus edwardsiae,edwardsiae,DD
Quercus juergensenii,juergensenii,
Quercus verde,verde,DD
Quercus vallicola,vallicola,
Quercus rekonis,rekonis,DD
Quercus nigra,nigra,LC
Quercus serrata,serrata,LC
