"","correctname","total_registros"
"1","Quercus rekonis",12
"2","Quercus engelmannii",13
"3","Quercus nixoniana",13
"4","Quercus tuitensis",13
"5","Quercus pennivenia",14
"6","Quercus coahuilensis",15
"7","Quercus basaseachicensis",16
"8","Quercus sinuata",16
"9","Quercus deliquescens",17
"10","Quercus huicholensis",17
"11","Quercus runcinatifolia",17
"12","Quercus flocculenta",19
"13","Quercus macdougallii",21
"14","Quercus acutidens",25
"15","Quercus ajoensis",25
"16","Quercus meavei",25
"17","Quercus iltisii",27
"18","Quercus miquihuanensis",27
"19","Quercus porphyrogenita",29
"20","Quercus furfuracea",30
"21","Quercus knoblochii",33
"22","Quercus toxicodendrifolia",34
"23","Quercus galeanensis",38
"24","Quercus barrancana",39
"25","Quercus delgadoana",40
"26","Quercus ariifolia",42
"27","Quercus perpallida",45
"28","Quercus wislizeni",45
"29","Quercus purulhana",47
"30","Quercus sororia",49
"31","Quercus berberidifolia",50
"32","Quercus tomentella",50
"33","Quercus opaca",51
"34","Quercus xylina",53
"35","Roldana candicans",56
"36","Quercus praeco",58
"37","Quercus laurifolia",59
"38","Quercus cornelius-mulleri",61
"39","Quercus paxtalensis",63
"40","Quercus crispifolia",64
"41","Quercus vicentensis",64
"42","Quercus rubramenta",66
"43","Quercus dysophylla",68
"44","Quercus acatenangensis",69
"45","Quercus muehlenbergii",70
"46","Quercus pinnativenulosa",70
"47","Quercus hintoniorum",71
"48","Quercus oocarpa",71
"49","Quercus acherdophylla",72
"50","Quercus hintonii",77
"51","Quercus mohriana",84
"52","Quercus hirtifolia",85
"53","Quercus tinkhamii",89
"54","Quercus dumosa",90
"55","Quercus planipocula",91
"56","Quercus radiata",92
"57","Quercus palmeri",95
"58","Quercus seemannii",96
"59","Quercus devia",97
"60","Quercus coffeicolor",99
"61","Quercus hypoxantha",101
"62","Quercus gambelii",102
"63","Quercus benthamii",108
"64","Quercus cortesii",115
"65","Quercus diversifolia",116
"66","Quercus tarahumara",117
"67","Quercus insignis",120
"68","Quercus convallata",122
"69","Quercus uxoris",127
"70","Quercus invaginata",141
"71","Quercus macvaughii",142
"72","Quercus repanda",142
"73","Quercus subspathulata",154
"74","Quercus intricata",159
"75","Quercus saltillensis",160
"76","Quercus vaseyana",165
"77","Quercus fulva",177
"78","Quercus martinezii",177
"79","Quercus brandegeei",178
"80","Quercus pungens",180
"81","Quercus grahamii",183
"82","Quercus skinneri",190
"83","Quercus depressa",193
"84","Quercus chrysolepis",197
"85","Quercus aristata",199
"86","Quercus depressipes",207
"87","Quercus sebifera",207
"88","Quercus calophylla",211
"89","Quercus mcvaughii",211
"90","Quercus crispipilis",221
"91","Quercus conzattii",223
"92","Quercus urbani",223
"93","Quercus lancifolia",233
"94","Quercus gravesii",236
"95","Quercus fusiformis",237
"96","Quercus toumeyi",238
"97","Quercus rysophylla",242
"98","Quercus salicifolia",242
"99","Quercus albocincta",246
"100","Quercus glaucescens",250
"101","Quercus liebmannii",256
"102","Quercus laceyi",260
"103","Quercus striatula",269
"104","Quercus cedrosensis",271
"105","Quercus segoviensis",272
"106","Quercus confertifolia",281
"107","Quercus germana",281
"108","Quercus frutex",286
"109","Quercus canbyi",289
"110","Quercus glabrescens",297
"111","Quercus corrugata",315
"112","Quercus pringlei",316
"113","Quercus xalapensis",316
"114","Quercus sapotifolia",343
"115","Quercus durifolia",356
"116","Quercus turbinella",388
"117","Quercus peninsularis",416
"118","Quercus potosina",434
"119","Quercus affinis",445
"120","Quercus greggii",456
"121","Quercus deserticola",463
"122","Quercus microphylla",465
"123","Quercus tuberculata",487
"124","Quercus sartorii",502
"125","Quercus hypoleucoides",512
"126","Quercus agrifolia",561
"127","Quercus scytophylla",585
"128","Quercus oleoides",596
"129","Quercus grisea",608
"130","Quercus resinosa",617
"131","Quercus oblongifolia",619
"132","Quercus viminea",619
"133","Quercus emoryi",627
"134","Quercus elliptica",674
"135","Quercus jonesii",674
"136","Quercus glaucoides",692
"137","Quercus chihuahuensis",713
"138","Quercus polymorpha",769
"139","Quercus crassipes",822
"140","Quercus mexicana",852
"141","Quercus eduardi",862
"142","Quercus sideroxyla",862
"143","Quercus caudicans",873
"144","Quercus arizonica",896
"145","Quercus peduncularis",1028
"146","Quercus acutifolia",1087
"147","Quercus magnoliifolia",1165
"148","Quercus laeta",1415
"149","Quercus laurina",1582
"150","Quercus obtusata",1637
"151","Quercus crassifolia",1682
"152","Quercus castanea",2165
"153","Quercus rugosa",2435
